,full_label,hemi,Yeo_17_nets,labels,index,Yeo_7_nets
140,17Networks_RH_DorsAttnB_FEF_1,rh,DorsAttnB,FEF_1,140.0,"Dorsal
attention"
141,17Networks_RH_SalVentAttnA_ParOper_1,rh,SalVentAttnA,ParOper_1,141.0,"Ventral
attention"
142,17Networks_RH_SalVentAttnA_PrC_1,rh,SalVentAttnA,PrC_1,142.0,"Ventral
attention"
143,17Networks_RH_SalVentAttnA_Ins_1,rh,SalVentAttnA,Ins_1,143.0,"Ventral
attention"
144,17Networks_RH_SalVentAttnA_Ins_2,rh,SalVentAttnA,Ins_2,144.0,"Ventral
attention"
145,17Networks_RH_SalVentAttnA_Ins_3,rh,SalVentAttnA,Ins_3,145.0,"Ventral
attention"
146,17Networks_RH_SalVentAttnA_FrMed_1,rh,SalVentAttnA,FrMed_1,146.0,"Ventral
attention"
147,17Networks_RH_SalVentAttnA_FrMed_2,rh,SalVentAttnA,FrMed_2,147.0,"Ventral
attention"
148,17Networks_RH_SalVentAttnA_FrMed_3,rh,SalVentAttnA,FrMed_3,148.0,"Ventral
attention"
149,17Networks_RH_SalVentAttnA_FrMed_4,rh,SalVentAttnA,FrMed_4,149.0,"Ventral
attention"
150,17Networks_RH_SalVentAttnB_IPL_1,rh,SalVentAttnB,IPL_1,150.0,"Ventral
attention"
151,17Networks_RH_SalVentAttnB_PFCl_1,rh,SalVentAttnB,PFCl_1,151.0,"Ventral
attention"
152,17Networks_RH_SalVentAttnB_PFCl_2,rh,SalVentAttnB,PFCl_2,152.0,"Ventral
attention"
153,17Networks_RH_SalVentAttnB_PFCv_1,rh,SalVentAttnB,PFCv_1,153.0,"Ventral
attention"
154,17Networks_RH_SalVentAttnB_PFCv_2,rh,SalVentAttnB,PFCv_2,154.0,"Ventral
attention"
155,17Networks_RH_SalVentAttnB_PFCmp_1,rh,SalVentAttnB,PFCmp_1,155.0,"Ventral
attention"
156,17Networks_RH_Limbic_OFC_1,rh,Limbic,OFC_1,156.0,Limbic
157,17Networks_RH_Limbic_OFC_2,rh,Limbic,OFC_2,157.0,Limbic
158,17Networks_RH_Limbic_OFC_3,rh,Limbic,OFC_3,158.0,Limbic
159,17Networks_RH_Limbic_OFC_4,rh,Limbic,OFC_4,159.0,Limbic
160,17Networks_RH_Limbic_TempPole_1,rh,Limbic,TempPole_1,160.0,Limbic
161,17Networks_RH_Limbic_TempPole_2,rh,Limbic,TempPole_2,161.0,Limbic
162,17Networks_RH_Limbic_TempPole_3,rh,Limbic,TempPole_3,162.0,Limbic
163,17Networks_RH_Limbic_TempPole_4,rh,Limbic,TempPole_4,163.0,Limbic
164,17Networks_RH_ContA_IPS_1,rh,ContA,IPS_1,164.0,Control
165,17Networks_RH_ContA_IPS_2,rh,ContA,IPS_2,165.0,Control
166,17Networks_RH_ContA_PFCd_1,rh,ContA,PFCd_1,166.0,Control
167,17Networks_RH_ContA_PFCl_1,rh,ContA,PFCl_1,167.0,Control
168,17Networks_RH_ContA_PFCl_2,rh,ContA,PFCl_2,168.0,Control
169,17Networks_RH_ContA_Cinga_1,rh,ContA,Cinga_1,169.0,Control
170,17Networks_RH_ContB_Temp_1,rh,ContB,Temp_1,170.0,Control
171,17Networks_RH_ContB_Temp_2,rh,ContB,Temp_2,171.0,Control
172,17Networks_RH_ContB_IPL_1,rh,ContB,IPL_1,172.0,Control
173,17Networks_RH_ContB_IPL_2,rh,ContB,IPL_2,173.0,Control
174,17Networks_RH_ContB_PFCld_1,rh,ContB,PFCld_1,174.0,Control
175,17Networks_RH_ContB_PFCld_2,rh,ContB,PFCld_2,175.0,Control
176,17Networks_RH_ContB_PFClv_1,rh,ContB,PFClv_1,176.0,Control
177,17Networks_RH_ContB_PFClv_2,rh,ContB,PFClv_2,177.0,Control
178,17Networks_RH_ContB_PFCmp_1,rh,ContB,PFCmp_1,178.0,Control
179,17Networks_RH_ContB_PFCmp_2,rh,ContB,PFCmp_2,179.0,Control
180,17Networks_RH_ContC_pCun_1,rh,ContC,pCun_1,180.0,Control
181,17Networks_RH_ContC_pCun_2,rh,ContC,pCun_2,181.0,Control
182,17Networks_RH_ContC_Cingp_1,rh,ContC,Cingp_1,182.0,Control
183,17Networks_RH_DefaultA_IPL_1,rh,DefaultA,IPL_1,183.0,Default
184,17Networks_RH_DefaultA_PFCd_1,rh,DefaultA,PFCd_1,184.0,Default
185,17Networks_RH_DefaultA_PCC_1,rh,DefaultA,PCC_1,185.0,Default
186,17Networks_RH_DefaultA_PFCm_1,rh,DefaultA,PFCm_1,186.0,Default
187,17Networks_RH_DefaultA_PFCm_2,rh,DefaultA,PFCm_2,187.0,Default
188,17Networks_RH_DefaultA_PFCm_3,rh,DefaultA,PFCm_3,188.0,Default
189,17Networks_RH_DefaultB_Temp_1,rh,DefaultB,Temp_1,189.0,Default
190,17Networks_RH_DefaultB_AntTemp_1,rh,DefaultB,AntTemp_1,190.0,Default
191,17Networks_RH_DefaultB_PFCd_1,rh,DefaultB,PFCd_1,191.0,Default
192,17Networks_RH_DefaultB_PFCv_1,rh,DefaultB,PFCv_1,192.0,Default
193,17Networks_RH_DefaultC_IPL_1,rh,DefaultC,IPL_1,193.0,Default
194,17Networks_RH_DefaultC_Rsp_1,rh,DefaultC,Rsp_1,194.0,Default
195,17Networks_RH_DefaultC_PHC_1,rh,DefaultC,PHC_1,195.0,Default
196,17Networks_RH_TempPar_1,rh,TempPar,TempPar_1,196.0,Default
197,17Networks_RH_TempPar_2,rh,TempPar,TempPar_2,197.0,Default
198,17Networks_RH_TempPar_3,rh,TempPar,TempPar_3,198.0,Default
199,17Networks_RH_TempPar_4,rh,TempPar,TempPar_4,199.0,Default
